Cristiano Ronaldo
Lionel Messi
Kylian Mbappe
Neymar
Robert Lewandowski
Antoine Griezmann
Mohamed Salah
Paul Pogba
Manuel Neuer
Gianluigi Buffon
Karim Benzema
Eden Hazard
Gareth Bale
David Alaba
Toni Kroos
Isco
Casemiro
Thibaut Courtois
Marco Asensio
Rodrygo
Romelu Lukaku
Christian Pulisic
Mason Mount
Kai Havertz
Hakim Ziyech
Timo Werner
Kepa Arrizabalaga
Ben Chilwell
Trevoh Chalobah
Thiago Silva
Leonardo Bonucci
Giorgio Chiellini
Juan Cuadrado
Daniele Rugani
Moise Kean
Gianluigi Buffon
Weston McKennie
Federico Bernardeschi
Alex Sandro
Carlo Pinsoglio
Rodrigo Bentancur
Dejan Kulusevski
Kaio Jorge
Federico Chiesa
Adrien Rabiot
Manuel Locatelli
Paulo Dybala
Aaron Ramsey
Arthur Melo
Riyad Mahrez
