Cristiano Ronaldo
Lionel Messi
Kylian Mbappe
Neymar
Robert Lewandowski
Antoine Griezmann
Mohamed Salah
Paul Pogba
Manuel Neuer
Gianluigi Buffon
Karim Benzema
Eden Hazard
Gareth Bale
David Alaba
Toni Kroos
Isco
Casemiro
Thibaut Courtois
Marco Asensio
Rodrygo
Romelu Lukaku
Christian Pulisic
Mason Mount
Kai Havertz
Hakim Ziyech
Timo Werner
Kepa Arrizabalaga
Ben Chilwell
Trevoh Chalobah
Thiago Silva
Leonardo Bonucci
Giorgio Chiellini
Juan Cuadrado
Daniele Rugani
Moise Kean
Gianluigi Buffon
Weston McKennie
Federico Bernardeschi
Alex Sandro
Carlo Pinsoglio
Rodrigo Bentancur
Dejan Kulusevski
Kaio Jorge
Federico Chiesa
Adrien Rabiot
Manuel Locatelli
Paulo Dybala
Aaron Ramsey
Arthur Melo
Riyad Mahrez
Aaron Paul
Bryan Cranston
Leonardo DiCaprio
Chuck Norris
Will Smith
Johnny Depp
Brad Pitt
Tom Hanks
Scarlett Johansson
Angelina Jolie
Matthew McConaughey
Anne Hathaway
Jessica Chastain
Michael Caine
Mackenzie Foy
Keanu Reeves
Carrie-Anne Moss
Laurence Fishburne
Jada Pinkett Smith
Hugo Weaving
Sam Worthington
Sigourney Weaver
Stephen Lang
Michelle Rodriguez
Giovanni Ribisi
Al Pacino
Marlon Brando
James Caan
Diane Keaton
Robert De Niro
Evan Peters
Sarah Paulson
Lily Rabe
Billie Lourd
Frances Conroy
Jessica Lange
Anna Gunn
Giancarlo Esposito
Dean Norris
RJ Mitte
Bob Odenkirk
Rhea Seehorn
Jonathan Banks
Andrew Lincoln
Norman Reedus
Jeffrey Dean Morgan
Chandler Riggs
Alycia Debnam-Carey
Frank Dillane
Kim Dickens
